Rating 1,Rating 2,Rating 3,Sim ,Replica,Topic
5,3,3,1.788275288,"What are the just raise one other quick thing like many of you probably are students are increasingly vocal in physics and applied physics say for doing fundamental research in their discipline, but about talking this specific area. So you look at our recent long-range planning exercise. It was with the vision towards hiring and doing more teaching in this area. And so I think it will have to be it intimately integrated structure. I meaning as even if we organize and split or do whatever you","The New School should include in its organizational structure the Precourt Institute for Energy.,"
4,1,4,4.964019104,"Yeah, I just wanted to say that I agree with what everybody's saying and I think the real question here that we have and we've raised the issues related to the woods Institute and how that fits into this new school. But the question I think that we were asked to answer was the new school should collaborate with other schools or make shared resources for sustainability related to engagement and research broadly available to all scholar. So if we go back to that question, we've already raised issues.","The New School should collaborate with other schools to make shared resources for sustainability-related engagement and research broadly available to all scholars at Stanford.,"
5,5,4,4.9653142," everyone should have the opportunity which is this is where we get into like equal opportunity for everyone. And if someone truly can't afford college and Scarlet, they can't find scholarships or they don't want to go into the military. There should be another option and our government is spending so much money on other things like law enforcement is the big one right now like the budget so huge and if we were educating people in those poor communities there wouldn't be a need for all.","The government should cover the cost of college tuition at public universities for all students who could not otherwise afford it,"
4,5,5,2.587665608,"I mean that's you just made me really sad. I mean, I know it's the truth, but it really it's let me hear it. I mean regarding this proposal like I mean in a perfect world, it'd be great. But also that debt that national debt like I don't really know the cons of being a national debt because I'm not an economic major, but if anyone could like speak upon that just because I would like to know more","The federal government should pass into law the Emergency Money for the People Act, which will give every American age 16 and older, who earns less than $130000 per year,$2 000 every month, for at least six months, or up to 12 months total, unless employment levels return to pre-COVID-19 levels after the initial six-month period."
4,3,4,2.279660272,Important role and they should have a lot to offer in this so we should try to move think beyond that transitional plan and start to do something from scratch.,"Stanford should emerge from the transition with seven schools: H&S, Law, GSB, Engineering, Medicine, Education, and the New School."
3,1,1,1.013426424,I'm just wondering where the panelists were. They going to be in person when it was scheduled to be in.,"In the next minutes, please take however much time you need to debrief about this weekend's deliberation. "
4,5,1,5.668702888,"Yeah, I don't agree that the government should pay for college tuition because of other countries that have free tuition don't have as good as an end education that America offers so education for colleges in America as better than any other country.","The government should cover the cost of college tuition at public universities for all students who could not otherwise afford it,"
3,3,1,1.55973648,"Stanford, I guess viable institution given, you know, you know given this one-time event.","Tuition should be reduced for online classes even if that means reducing financial aid.,"
2,3,4,2.021902016,My understanding is that's one of the questions to discuss I think today and certainly further. I've heard from day one. I heard arguments both pro and con regarding that I think are Sciences should should remain and then people can make choices. Once they see what the ship looks like to to quote someone.,"If individual faculty members wish to participate in the New School, the Stanford administration should strive to accommodate them."
5,4,3,3.189059064,"I just want to add on to what Alfred said and provide some context in the school of medicine. So, you know in Som, we actually have two different tracks that faculty can be brought on one is University tenure track and the other one is the med center line track. And in fact, there are different planning criteria and evaluation criteria, and we serve don't confuse the two questions. They're just separated so that could be one potential way that in the new school. You just have to contract depending on who Bring It On","The New School‚Äö√Ñ√¥s formal criteria for faculty hiring and promotion should value activities to accelerate impact along with research and teaching and have the Faculty Senate and the Provost appoint a committee to consider these implications. ,"
2,3,2,3.905446576,I'd like to fully agree with this point if we think about the energy and the impacts on the climate has a lot to do with with use of energy it has a lot to do with agriculture has to do with what we eat. I think if you call this human populations and they're all of human population. I think that should be part of it if you restrict it to cities that's a little bit too narrow if cities,"Here we have a set of proposals regarding various research topics for which the New School might incorporate a critical mass of faculty members on cities, climate science, earth and planetary sciences, energy, human health, human sustenance, the natural world, public policy, and social science and ethics."
5,5,3,3.138264464,"Yeah, it's going to say if there's a way to draw on money even if a lot does come from the oil industry that flexible money. I love the idea of fellowships. I think that's a great idea and love to see how other kinds of pilot money that can be used in steered. In other ways. The reality is if we hire really smart, you know field changing people that you will go into these other areas. I hope and stir the pot. So keep Stanford Cutting Edge.","Faculty members in the New School should be free to seek and accept funding to conduct research on topics that might aid the energy industry to transition to a carbon-free world.,"
1,3,4,2.391968776,"I also just want to say that the proposal is not necessarily for anybody who would join right? I mean, I was initially thinking of that proposal as one that might apply to folks For Whom the fit might not be immediately obvious or people like me who I mean, I would love to participate in these discussions, but do you guys want to play with me? Do I want to play with you? Right? I mean, we don't really know each other very well or at all, so","If individual faculty members wish to participate in the New School, the Stanford administration should strive to accommodate them."
3,3,3,4.049893664,"Exactly what I was going to think about. So another model in addition to Duke's as the one at the University of Michigan where just before I left. I was starting to get involved in conversations. They're about their re-creation of their school for environment and sustainability. I think to answer Reese's question, you know, maybe we should delve into some of the themes like energy, for example. Okay. So energy one of the things we're being asked to consider is a crucial area in which the social sciences and humanities.","Here we have a set of proposals regarding various research topics for which the New School might incorporate a critical mass of faculty members on cities, climate science, earth and planetary sciences, energy, human health, human sustenance, the natural world, public policy, and social science and ethics."
4,4,5,2.01350908,"Yeah, that was like my big question. I was like, where would these neighborhood be because I feel like there's","Housing at Stanford,"
5,5,5,5.650285528,"It definitely should not because the Affordable Care Act I would say as a stepping stone to getting where we need to be in terms of coverage. I think the Affordable Care Act covers about 90% of people, but I think it's a very valuable step and I think our best chance on getting as many people covered as possible is to build on the Affordable Care Act and not tear it down.","The Affordable Care Act should be replaced.,"
4,3,2,2.4840632," Like given that I think, you know sophomore top most students choose to live with someone of the same gender identity of them.","All roommate assignments should be made gender-neutral by default,"
3,5,1,1.61554252,Artur what they did many years ago. So my question is does it make sense to actually list all these topics or maybe is it better to have some some sort of goals?,"Here we have a set of proposals regarding various research topics for which the New School might incorporate a critical mass of faculty members on cities, climate science, earth and planetary sciences, energy, human health, human sustenance, the natural world, public policy, and social science and ethics."
1,4,2,1.411526552,"I saw like I think it was Meg lose her train of thought and that's what keeps happening to me because like so many people are like in the queue or I'm just kind of I don't know. I just did you report me John? Um, anyway, you know, I just I like keep losing my train of thought at the end and then I feel like what I said wasn't substantive and then I'm like, okay. I kind of just trailed off there. So like I'm not so sure I feel confident this interface just","Switch to Top Two Method,"
3,4,1,1.739256312,"Okay. Yeah, that makes sense. But there's a third possibility namely that the kinetochores billions of dollars are spending their own money. I'm not sure what I just want to point out that this more complex. First.","Candidates/Individuals should have limits on how much they can spend on campaigns,"
4,4,5,4.001881408,"And a side note of something that you just brought up is that I also think that it will change inherently change sort of the culture at Stanford which could be a good thing could be a bad thing. But I think that one of the things that this current housing system does is it makes people go out and do this at your extracurricular activities and those things and that's why Stanford has a stronger extracurricular Community by students than any other school, and that's why there are so many student-run clubs and organizations because people are finding those communities those for you communities both in their residences and out.","Housing at Stanford,"
1,4,2,1.510798024,I think the format was like super awkward in those like plenary sessions. Are you guys like couldn't see the other people that were on it other than like the panelists. So I just like I didn't listen to them.,"In the next minutes, please take however much time you need to debrief about this weekend's deliberation. "
5,3,4,4.056617072,"I think like this doesn't really have to do with the numbers but I just feel like if they do reduce tuition that would help the like opinion of Stanford going forward like the students are more likely in the future to help camphor it out and donate when they're alone. If they like will Sanford really helped me through this tough time, and it would really show like that the university cares about its students.","Tuition should be reduced for online classes even if that means reducing financial aid.,"
4,3,5,3.338418768,"People are all in on the sustainability side, and we devote resources to create a real new school rather than just a title.","The New School should collaborate with other schools to make shared resources for sustainability-related engagement and research broadly available to all scholars at Stanford.,"
3,1,4,0.147867016,"That is pretty common. You reach out broadly at the end and say look we got input from everyone so not to be cynical but it is not uncommon to see that sort of thing happened. So we'll see but having said that I think one should try and be as forceful as possible, especially you guys who are directly affected. I think now's your time to speak up and we'll support you behind that quite frankly. I will","The faculty members of the New School should collectively undertake a process to finalize the design the academic structure.,"
1,4,4,2.311034728,"And raise the money for this there would be a building component. There's also a residential sort of to integrate students, but there would be a there is a spot for a new building where new facilities would be available all that resources.","The New School should collaborate with other schools to make shared resources for sustainability-related engagement and research broadly available to all scholars at Stanford.,"
4,5,1,4.243070648,"I would agree with what everyone has been saying but for a slightly different reason I say we should find a balance of minimizing automation, but also increasing wages to a livable level because being able to live on 725 an hour is very difficult and","Increase the federal minimum wage from $7.25/hour to $15/hour,"
5,5,1,4.339675952,"Yeah, I think the school has to retain some power or somebody the administration of the school has retained some power to turn people down. But some sort of presumption that somebody wants in should be given serious consideration may be allowed it. I can see if you got somebody if I've got a law school colleagues who teaches contract law and has no interest in environmental stuff at all, but is in a feud with the dean or hates the school we don't have any","If individual faculty members wish to participate in the New School, the Stanford administration should strive to accommodate them."
5,1,5,5.800372888,"also another question while we're thinking about the first one was like one of the cons is listed as by not reducing financial aid low-income students will face financial burden to an even greater degree, but isn't not reducing financial aid, like helpful to financial aid students and maybe I'm misreading","Tuition should be reduced for online classes even if that means reducing financial aid.,"
3,4,2,1.562802008,"So I'd imagine a much more difficult discussion which was going to be deciding which of these potential areas of focus we had to eliminate from the list. But if we're adding them, I think this is actually pretty because it was that that would have been challenging. I think these are all really relevant environmental justice, you know, we could probably add more. I don't know if that's going to help the people that were supposed to be helping if we do, maybe I'll just put it out there. Does anybody see anything on this list that they want to just cut?","Here we have a set of proposals regarding various research topics for which the New School might incorporate a critical mass of faculty members on cities, climate science, earth and planetary sciences, energy, human health, human sustenance, the natural world, public policy, and social science and ethics."
5,4,1,4.069784688,"Yeah, I told him once you have you joined the EU you should also accept the rules and follow them. So I think you wouldn't punish me the states that are violating the rules or doing something that you shouldn't when you're in here. I think they should be punished because they are not being punished and you only consume with the with the things that they are doing and that's not good for you if you're not swallowing.","The EU should punish disobeying member states.,"
3,4,3,3.17519956,"So one of the things I think is isn't is relevant is team science, and I know that that's something that people in the medical school and others are involved in and it's now becoming a criteria for for evaluation at the time of tenure and I think that that's also something here that should be included is this is team science. It is people working together. And if you're working as part of a team you want to be recognized and are you the leader of the team or you somebody that's","The New School‚Äö√Ñ√¥s formal criteria for faculty hiring and promotion should value activities to accelerate impact along with research and teaching and have the Faculty Senate and the Provost appoint a committee to consider these implications. ,"
5,5,1,3.526983544,"I think that kind of depends on the financial status of a person who was into you're going through covid-19 treatment it is I do know that it is important to receive the treatment and I know it how expensive it is, but some people can actually if they have that coverage through their private insurance healthcare insurance providers and if they have the financial ability to do so they could possibly pay for it with less aid, but for the people of low income families, they need that extra support.","The federal government should pay for COVID-19 treatment for everyone,"
3,4,3,2.61808448," question is what is a good thing which provide lots of resources for lots of people on campus did it increase our credibility or did it decrease our credibility? So I think instead of talking about any abstract terms, we have a lot of","Faculty members in the New School should be free to seek and accept funding to conduct research on topics that might aid the energy industry to transition to a carbon-free world.,"
4,5,5,5.222370432," if we're only having smaller like corporations pay the taxes and what we're getting is smaller businesses not like benefiting from having a higher cash flow and being able to grow as a company and then the u.s. Not being able to profit from having these having this tax rate, right? And so I think it'd just be more effective to close loopholes than to lower the tax rate. I don't know if that made any sense.","The US should lower the corporate tax rate from 21% to 15%,"
4,3,3,2.569779088,"I also feel like at the end of the day organ large organizations, like corporations or labor unions kind of due to some extent represent a certain portion of the population. And so I feel like these are organizations are necessary necessarily disparate from the people themselves. And so sometimes was good for corporate interests or what's good for labor unions is also good for society as a whole. So I feel like allowing those organizations have voiced their interest is not necessarily.","Move to pass a constitutional amendment to overturn Citizens United,"
3,5,2,2.513835832,"And I think that if they don't abolish it at the very least the alternative should not be doing nothing but rather doing everything to be able to change to be able to get more alumni support to make the financial burden as non-existent as possible amongst other things, but I don't think the alternative should be doing nothing at all.","Stanford should abolish Greek life.,"
4,5,1,3.778810312,"Yeah, I see what you're saying Pearl and that's one of the things they mentioned but I don't foresee. It being like that much additional work to just like have the option when you're applying like remember the roommate whole survey that we filled out that they do use to assign you your roommate. If on that they just had like a another box for","All roommate assignments should be made gender-neutral by default,"
1,4,5,5.183533,"Okay. So in this question, I think there's a couple points of conflict that I see so firstly the phraseology that uses promote democracy and I don't see why we wouldn't want to promote democracy. I don't think we should intervene if there isn't democracy but I think we should definitely promote democracy other than they say human rights and I think we probably definitely should intervene or maybe not the US unilaterally like the last case but","The US should use diplomacy and financial support to promote democracy and human rights throughout the world.,"
4,3,1,2.167344144," Claire family not to pick on anyone but I'm just saying this like lots of evil corporations out. There are few or coverages people could label is evil, but I want to be really careful about doing that as an academic counselor.","Faculty members in the New School should be free to seek and accept funding to conduct research on topics that might aid the energy industry to transition to a carbon-free world.,"
4,5,4,1.747561144,I had another thought before Tony's question came in. I think one question that one concern that I had is maybe not concerned more in question is like to see the school not as in reorganization of Stanford campus. I'm seeing a lot of Notions of pulling different resources merging different departments and what I hope it doesn't come out as that. This is just another reorganization of Stanford with some different editions. We have seen this for me.,"Here we have a set of proposals regarding various research topics for which the New School might incorporate a critical mass of faculty members on cities, climate science, earth and planetary sciences, energy, human health, human sustenance, the natural world, public policy, and social science and ethics."
5,1,5,4.281750488,"Yeah, I think we definitely need more information about this but I'm generally in support of just keeping tuition the same since we know that like having the tuition at this level like works for financial aid. I don't think that most people at Stanford is because we have so much money have a hard time paying for Stanford and like at the end of the day we are still going to get a Stanford degree at the end of this and so I think that like the value of what we're getting is is pretty similar like by the time that we graduate.","Tuition should be reduced for online classes even if that means reducing financial aid.,"
4,1,3,3.818599752,"Yeah, that was one of the parts. I thought would be the most concerning. I mean going forward you would have most of like New York and California controlling elections. And I think that that would lead to you know, just a feeling of you know disinterest in the middle of the United States where the election was always going the opposite way that those people may have voted. I think that's a real problem.","Substitute the national popular vote for the Electoral College through a constitutional amendment,"
2,5,1,2.291257312,"Yeah, the only thing is that I definitely think because part of the problem with some of the like the frosh housing is that you just like friends by proximity that you're all just randomly put in there. And so I feel like if you're in a neighborhood that you could maybe you're just around these people so you're friends with them rather than people that you could make like closer ties. So I think they would have to for me.","Housing at Stanford,"
3,4,3,1.282779888,"And and and do things together. So I think the idea of having places to convene a specialist, but then you can always Retreat to your specialty and make that perfect as well. So you have you have both you have the right.","Here we have a set of proposals regarding various research topics for which the New School might incorporate a critical mass of faculty members on cities, climate science, earth and planetary sciences, energy, human health, human sustenance, the natural world, public policy, and social science and ethics."
3,5,3,1.976000592,"I'm kind of curious just it like to hear what you guys think like how Stanford is generally handle the situation from what I've read like other institutions like Harvard MIT Princeton Etc have taken a much more proactive stance, but I'm not sure I'm at least from what I've heard from like my friends like it's kind of been opposite for Stanford. So I'm just going to just in here.","Tuition should be reduced for online classes even if that means reducing financial aid.,"
1,5,4,2.987422752,"For me one argument for keeping Greek life is that I very strongly dislike dorm parties. So if I'm on in my dorm like a Friday afternoon and here at loud music till 3:00 in the morning from the people to things down a hall drives me crazy, but the the frats kind of provide an opportunity for people who want to go out to go out at like pretty designated place and they kind of leave everything else alone.","Stanford should abolish Greek life.,"
4,5,1,2.262981344,"Well, I would just say that really resonate with Sarah's comment about the environmental justice aspect, but overall to me, it seems like that's a reasonable list for them to get started you would imagine that the school over time that would develop other departments in areas as they once they stood up. So in some sense, it feels like you don't have to plan out the entire thing right at the start.","Here we have a set of proposals regarding various research topics for which the New School might incorporate a critical mass of faculty members on cities, climate science, earth and planetary sciences, energy, human health, human sustenance, the natural world, public policy, and social science and ethics."
5,5,5,2.601460864,"I thought they were supposed to do survey right after we finished that like our discussion because I got it's already did it, but I don't know. I guess it doesn't matter.","Survey,"
4,4,4,4.453455736,"I'll try to be brief. I think one one thought is that an ocean scientists by me most effective in contributing to sustainability and climate if in a school and perhaps in a department with the critical mass of all, the people that are needed to support research and education and impact in this area. And so this category is need to be more specific and more targeted and more interdisciplinary. I think.","Here we have a set of proposals regarding various research topics for which the New School might incorporate a critical mass of faculty members on cities, climate science, earth and planetary sciences, energy, human health, human sustenance, the natural world, public policy, and social science and ethics."
1,4,3,1.431566528,"Of and so I still think that is an important question like what it even helped if it's unclear that I'm going to say. No, but I'm also scared because of like to what extent would it be placed on corporations and where the be adequate led to legislation surrounding it to protect.","Organizations and corporations should work with the government to implement opt-in-only contact tracing platforms to monitor and mitigate the spread of COVID-19.,"
1,4,5,4.238572408,"I think it seems perfectly reasonable to include Woods in this new school. But you know, I'm really not the person to speak about.","The New School should include in its organizational structure the Woods Institute for the Environment.,"
2,4,5,5.26130896,"Yeah, to be honest. I don't see why not why vaccines should not be mandatory. Like it's rather. It's better to just play it safe rather than be sorry later. So.","Coronavirus vaccines should be mandatory.,"
4,4,1,0.977863288,"This is really complicated. So this is my fourth High School, which I'm going to explain real quick. I lived in Pennsylvania and like State College on where Penn State University is for 14 years and went to like a democratic Alternative High School there that really focus on like student leadership and stuff and then because that sounds like really toxic my family moved to Washington State Olympia, which is the capital of Washington. It's like below Seattle and I went to a school there.","In the next minutes, please take however much time you need to debrief about this weekend's deliberation. "
1,3,3,1.04789652,What kind of programs are you thinking?,The government should give cash grants of $1000/month to all adults at least 18-years-old.
5,4,3,0.900661816,I guess one thing I learned this isn't the full answer but that technically that's true because financially this proportional to how much tuition is so in some ways is kind of like a like a straightforward fact like eighty percent tuition your financial aid will cover 80 will drop some other lie so that's like the other chunk is just whether they would reduce it even further,"In the next minutes, please take however much time you need to debrief about this weekend's deliberation. "
5,5,5,4.926593592,"Yeah, I think the Affordable Care Act. I think it's good. It's better than nothing obviously, but I think Universal Health Care would be a lot better because the Affordable Care Act definitely like let's up. A lot of people have slipped through the cracks and even though we have it like medical bankruptcy is one of the leading like ways of bankruptcy today. So it's obviously not completely efficient and good.","The Affordable Care Act should be replaced.,"
5,1,4,0.882532536,"Yeah, we got it. Um, I think it was pretty cool. I think that some of the questions like weren't as good as they could have been but yeah, I mean like bite it has a lot of experience with debating since he's been a senator for so long and like vice president. So it's just like I feel like he just like","In the next minutes, please take however much time you need to debrief about this weekend's deliberation. "
5,4,3,4.457969952,"Yes, I agree. I think that maybe even if they did like one cash Grant of a thousand dollars one-time like a singular Grant and if they could change it to 18 year olds who are going to college because I feel like college students could use it the most instead of all 18 year olds. Um, yeah.",The government should give cash grants of $1000/month to all adults at least 18-years-old.
5,5,3,2.79758136,"Yeah, I don't agree with this at all. Because you know as much as I would love to be able to get a thousand dollars a month, you know the old adage if you teach a man to fish, you know, he'll learn for Life instead of just giving him a fish. I was just gonna rely on you. So that's the problem is that people just start relying on the government and then that doesn't help boost our economy at all.",The government should give cash grants of $1000/month to all adults at least 18-years-old.
3,3,4,4.673705864,If the faculty members can self-organize and then propose the thrust in the school that can then influence how the school is organized.,"If individual faculty members wish to participate in the New School, the Stanford administration should strive to accommodate them."
5,5,5,2.87035112," it could continue the spread because even if most of the population gets it, they're still going to be the small group of people because like in the past if large areas and communities decided not to get vaccinated then diseases have come up in those areas that have been like not very common and for a long time if that makes sense. So like I definitely agree with that in like School situations and work situations. It should be mandatory, but I kind of feel like it should be me.","COVID-19 vaccines should be optional,"
5,3,2,0.619120304,"Yeah, I definitely agree. I think Lindsey Graham and Mitch McConnell were really hypocritical with that since I mean, they like I forget one of them said like use my words against me, you know in a present like he it was very clear that they were not going to let abama do that and then they just went against their word. So that was frustrating. I think what's most frustrating is that they","In the next minutes, please take however much time you need to debrief about this weekend's deliberation. "
5,5,5,4.174805448,"I mean also, I believe that like during a pandemic. I mean Medicaid, I mean it's a great system, but it has its flaws but I don't understand how we could even decrease Medicaid funding in a pandemic when there's likely a lot of people who actually need more support for Medicaid due to the pandemic and I mean, I don't understand like a lot of these people are making less money than they even were before the pandemic they have less jobs.","The federal government should reduce funding for Medicaid, the federal-state program that provide insurance to low-income Americans"
1,3,4,2.086054488,"I would just like some clarity about how clear that there is a new school because we keep talking about all the things about the new school, but it seemed to me that there still is the question whether the school would be created. So Jeff, I would really appreciate a little more orientation. I guess I didn't get enough from the materials that I read.","Here we have a set of proposals regarding various research topics for which the New School might incorporate a critical mass of faculty members on cities, climate science, earth and planetary sciences, energy, human health, human sustenance, the natural world, public policy, and social science and ethics."
4,5,5,2.031852176,"I empathize from another side of things. I'm in the same boat Dusty. I totally empathize and I can totally understand your Viewpoint and in some ways. I'd like to hear what would be you know, if this is the case that we do seven schools. What would be a way that you could Envision going forward you could leave we'd hope you don't because you're great you provide a lot to the school. I've really glad that work with you not.","Stanford should emerge from the transition with seven schools: H&S, Law, GSB, Engineering, Medicine, Education, and the New School."
4,5,2,1.644752072,"Yeah, I just want to clarify I didn't mean that's the everyone's experience. I just meant that like as a woman I would feel uncomfortable in a situation where I was like forced to like change and front of like a man who was straight and like was called potentially sexually attracted to me who was like much larger than me and who like I didn't choose and don't have any relationship to and I think that would be because there are a lot there are a lot of like straight women on campus. I think that would be an uncomfortable situation for a lot of","All roommate assignments should be made gender-neutral by default,"
1,5,4,3.662950328,"one thing that I've seen at least is people have preferred unemployment which light because they're making more money than they are making their normal job, which I think goes back into like raising the minimum wage, you know, and that is all different not all different topic, but it definitely wasn't great when I see like people my age where you're not my I feel like 1894 going down and folded and have been saying there because it's","The federal government should keep unemployment benefits the same as before COVID-19.,"
1,4,5,4.064164928,"Yeah, I also was surprised by the idea that there are other schools would not join if there was a new school. It seems like anytime there's any restructuring that people will gravitate towards or away from the new thing which emerges whatever that is and it seemed to me that and we were did when we're designing educational programs. We usually think about ten year Horizons and that schools and colleges seem to have much longer lifetime. So what is the life cycle of a school?","Stanford should emerge from the transition with seven schools: H&S, Law, GSB, Engineering, Medicine, Education, and the New School."
4,5,3,2.684025456,"yeah, definitely one of things that our professor has been mentioning is that one of the pros at least recently one of the pros of employee or employer based health insurance is that it causes people to pool and that people are less likely to change jobs just for the sake of how much the health insurance costs meaning that healthy people are happy to subsidize unhealthy people's care, but obviously that doesn't work and you completely falls apart when everyone loses their jobs because of pandemics","All Americans should automatically be enrolled into some version of medicare.,"
5,5,1,3.578931144,"So I disagree on only because the government is already covering covid testing. So if you go get a covid test its free government covers it treatment for the uninsured is also covered. So I think that is what should be covered and it's already covered. I think if you're getting severely sick, you're the kind of person and this is like different but if you're getting severely sick, it's kind of like the flu in a way. So like if you're getting","The federal government should pay for COVID-19 treatment for everyone,"
5,5,5,2.408866096,"I also think if you would have an army if we don't really need it here in Europe. So the only use that we could get out of it is to like into other countries and like interfere in other countries, but I don't think that this is a word that you should do. I think we shouldn't like go to other countries like Iran Afghanistan. I don't know and just put out I'll be there because it will only cause more problems.","The EU should strive towards creating an EU army.,"
3,5,5,4.086317352,"I think yeah in response to the question though in terms of who makes the decisions about the academic structure. Of course this whoever's in this new school at some level has two but there's got to be parameters and it has those parameters have to be determined. It would seem before the new school starts, you know, we talked a lot and you can just a little bit ago what permeable boundaries? Well, I assume the new school wasn't going to be able to form and say are we decided we don't want to work with other schools, you know, I that's not","The faculty members of the New School should collectively undertake a process to finalize the design the academic structure.,"
1,3,4,4.141370104,"Because we're not necessarily unhappy in the School of Engineering. We would really like to work more on sustainability and help build the school, but it should be something that is it's really new and not just joining a previous School.","Stanford should emerge from the transition with seven schools: H&S, Law, GSB, Engineering, Medicine, Education, and the New School."
4,4,1,4.24171548,"So presumably the argument to make this impactful Outreach activities a Criterion for promotion is because we're acknowledging that it's somehow going to impact your research productivity. If not, why do we need to add it? So my concern would be of Stamford starts hiring young people and they're on their way to tenure and we say Okay impacts going to matter. So traditional publishing and refereed.","The New School‚Äö√Ñ√¥s formal criteria for faculty hiring and promotion should value activities to accelerate impact along with research and teaching and have the Faculty Senate and the Provost appoint a committee to consider these implications. ,"
2,5,5,4.755891368," It's a really yeah, I agree with that. I mean people if you're if you're paraplegic or have any other natural deformities that you were born with that a they should have access to health care. I think everybody in the country should have access to healthcare no matter like the race gender or ability.","People should have reasonable access to health insurance without discrimination against pre-existing conditions.,"
1,4,4,1.706892776,"I think that I can go to drunk because I thought that all this question or rather. This issue is attempting to solve is that they will have an option in the form a very clear option which would allow people to choose the gender. So like a man if a man wants to live with him and you can choose a man and woman can choose a woman. So I think yeah, they should do that. I mean, you know,","All roommate assignments should be made gender-neutral by default,"
4,3,3,2.810733128,"Yeah, I completely agree. I you know, maybe there's a question in here for the panel when we get to that about. You know, what what are they really trying to get at and they trying to say there are some things we should not be doing in research setting aside who the funding comes from or are they really just worried about the image of where the money comes from? I don't know where which they're most concerned about.","Faculty members in the New School should be free to seek and accept funding to conduct research on topics that might aid the energy industry to transition to a carbon-free world.,"
